,Name,Description,One-Handed Damage,Two-Handed Damage,Main Damage Type,Extra Damage,Extra Damage Type,Type,Rarity,Enchantment,Wielding-Type,Throwable,Dippable,Extra Reach,Light,Melee/Range,Weight,Price,Special Attribute 1,Special Attribute 2,Special Attribute 3,Special Attribute 4,Action 1,Action 2,Action 3,Action 4,Special Action 1,Special Action 2,Special Action 3,Special Action 4,Location,Img url,UID,UUID
243,Goblin Bow,"A Goblin Bow is the favored ranged weapon used and created by Goblins. Besides appearances, it functions exactly like a normal Shortbow.",,1d6 (1~6) + Dexterity modifier,Piercing damage,,,Shortbows,Common,None,Two-Handed,False,False,False,False,18m / 60ft,0.9kg / 1.8lb,16 gp,,,,,Hamstring Shot: Shoot an enemy in the thigh and possibly reduce their Movement Speed by 50%.,,,,,,,,Looted from dead goblins and found in the Goblin Camp.,https://bg3.wiki/w/images/thumb/4/4b/Goblin_Bow_Icon.png/300px-Goblin_Bow_Icon.png,WPN_GOB_Shortbow_A_0,fd6f48fc-b153-4e6b-9a7f-86ac2963c95f
244,Hunting Shortbow,"Hunting Shortbow is an uncommon, +1 Shortbow that grants Advantage against Monstrosity type enemies and the ability to cast Hunter's Mark.",,1d6 + 1 (2~7) + Dexterity modifier,Piercing damage,,,Shortbows,Uncommon,+1,Two-Handed,False,True,False,False,18m / 60ft,0.9kg / 1.8lb,65 gp,Feller of Monsters: You have Advantage against Monstrosity type enemies.,Hunter's Mark: Cast as a level 1 spell (Recharge: Long rest).,,,Hamstring Shot: Shoot an enemy in the thigh and possibly reduce their Movement Speed by 50%.,,,,,,,,Purchased from Dammon in Druid Grove.,https://bg3.wiki/w/images/thumb/d/dd/Shortbow_PlusOne_Icon.png/300px-Shortbow_PlusOne_Icon.png,MAG_Hunting_Shortbow,a1d1634c-02e6-4428-a822-7603e9163264
245,Least Expected,Least Expected is a rare +2 Shortbow that increases Attack Rolls while obscured in shadow and also grants the Blinding Shot weapon action.,,1d6 + 2 (3~8) + Dexterity modifier,Piercing damage,,,Shortbows,Rare,+2,Two-Handed,False,True,False,False,18m / 60ft,0.9kg / 1.8lb,190 gp,"Darkveil Precision: While obscured in shadow, the wielder has a +1d4 bonus to their ranged weapon attacks.",,,,Hamstring Shot: Shoot an enemy in the thigh and possibly reduce their Movement Speed by 50%.,,,,Blinding Shot: Weave the lost magic of the children of Deep Duerra into your shot and possibly Blind your target.,,,,Looted from a Gilded Chest in the Gauntlet of Shar X:-730Y:-800.,https://bg3.wiki/w/images/thumb/d/dd/Shortbow_PlusOne_Icon.png/300px-Shortbow_PlusOne_Icon.png,MAG_Shadow_Blinding_Bow,2199a407-0ae8-4ada-b3cd-b19df5adeadd
246,Makeshift Bow,Makeshift Bow is a common variant of the Shortbows family of weapons. It is a martial ranged weapon that's wielded with both hands. It's a light weapon that anyone can dual-wield without special training.,,1d6 (1~6) + Dexterity modifier,Piercing damage,1d10 (1~10),Necrotic damage,Shortbows,Common,None,Two-Handed,False,True,False,True,18m / 60ft,0.9kg / 1.8lb,16 gp,,,,,Hamstring Shot: Shoot an enemy in the thigh and possibly reduce their Movement Speed by 50%.,,,,,,,,Can be looted from skeleton archer raised by the player. [Needs Verification],https://bg3.wiki/w/images/thumb/1/18/Distracted_Condition_Icon.webp/35px-Distracted_Condition_Icon.webp.png,WPN_HUM_Shortbow_A_Makeshift,82992370-cb61-4381-b390-891a3a9bd075
247,Shortbow,"Shortbow is a mundane, nonmagical variant of the Shortbows family of weapons. It is a simple ranged weapon that's wielded with both hands.",,1d6 (1~6) + Dexterity modifier,Piercing damage,,,Shortbows,Common,None,Two-Handed,False,True,False,False,18m / 60ft,0.9kg / 1.8lb,16 gp,,,,,Hamstring Shot: Shoot an enemy in the thigh and possibly reduce their Movement Speed by 50%.,,,,,,,,Starting equipment for ranger.,https://bg3.wiki/w/images/thumb/b/ba/Shortbow_Faded.png/300px-Shortbow_Faded.png,WPN_HUM_Shortbow_A_0,c5403c1d-f372-43e1-927a-9189e9e3545d
248,Shortbow +1,"Shortbow +1 is an uncommon, lightly enchanted (+1) variant of the Shortbows family of weapons. It is a simple ranged weapon that's wielded with both hands.",,1d6 + 1 (2~7) + Dexterity modifier,Piercing damage,,,Shortbows,Uncommon,+1,Two-Handed,False,True,False,False,18m / 60ft,0.9kg / 1.8lb,40 gp,,,,,Hamstring Shot: Shoot an enemy in the thigh and possibly reduce their Movement Speed by 50%.,,,,,,,,This weapon can be bought from these traders: Dammon in the Druid Grove Derryth Bonecloak in the Myconid Colony,https://bg3.wiki/w/images/thumb/d/dd/Shortbow_PlusOne_Icon.png/300px-Shortbow_PlusOne_Icon.png,WPN_HUM_Shortbow_A_1,a46173b7-afd6-48e0-9c76-817acd027574
249,Vicious Shortbow,Vicious Shortbow is a rare Shortbow that deals 7 additional damage on a Critical Hit.,,1d6 + 2 (3~8) + Dexterity modifier,Piercing damage,,,Shortbows,Rare,+2,Two-Handed,False,True,False,False,18m / 60ft,0.9kg / 1.8lb,190 gp,"Dolor Amarus: When you land a Critical Hit with any weapon attack, it deals an additional 7 damage.",,,,Hamstring Shot: Shoot an enemy in the thigh and possibly reduce their Movement Speed by 50%.,,,,,,,,Sold by Echo of Abazigal in the Murder Tribunal after the player character accepts Bhaal and becomes an Unholy Assassin.,https://bg3.wiki/w/images/thumb/d/dd/Shortbow_PlusOne_Icon.png/300px-Shortbow_PlusOne_Icon.png,MAG_Vicious_Shortbow,0a17e147-25bf-4ae5-b24a-3307db4bec56
250,Ambusher,Ambusher is a rare +1 Shortsword that grants the wielder bonuses to Initiative and Advantage on Perception checks and deals extra Necrotic damage on creatures that haven't taken a turn yet.,1d6 + 1 (2~7) + Strength or Dexterity modifier,,Piercing damage,,,Shortswords,Rare,+1,One-Handed,False,False,False,True,1.5m / 5 ft,0.9kg / 1.8lb,190 gp / 920 gpHHonour,Sentinel Weapon: Gain a +1 bonus to Initiative rolls and Advantage on Perception Ability Checks.,"Ambusher's Streak: In combat, you deal an additional 1d6Necrotic damage against creatures that haven't taken a turn yet.",,,Flourish: Feint an attack to possibly throw your opponent Off Balance.,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,,,,Sold by Exxvikyap in Rivington General in Rivington.,https://bg3.wiki/w/images/thumb/8/86/Shortsword_PlusOne_Icon.png/300px-Shortsword_PlusOne_Icon.png,MAG_Generic_01_Shortsword_1,7a96f6cc-c6bb-4caf-a1ab-a86af3fa21a5
251,Crimson Mischief,"Crimson Mischief is a legendary Shortsword that, when wielded in the main hand, grants additional damage when attacking with Advantage and against targets with 50% or less of their hit points. When wielded in the off-hand, it instead allows the wielder to add their Ability Modifier to their damage.",1d6 + 2 (3~8) + Strength or Dexterity modifier,,Piercing damage,1d4 (1~4),Necrotic damage,Shortswords,Legendary,+2,One-Handed,False,False,False,True,1.5m / 5 ft,0.9kg / 1.8lb,640 gp,Prey Upon the Weak: This weapon deals an additional 1d4Piercing damage against targets with 50% of their hit points or fewer.,,,,Flourish: Feint an attack to possibly throw your opponent Off Balance.,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,,,,Dropped by Orin during Get Orin's Netherstone in Act Three.,https://bg3.wiki/w/images/thumb/7/73/Crimson_Mischief_Icon.png/300px-Crimson_Mischief_Icon.png,MAG_TheCrimson_Shortsword,5961d027-75fd-4ad7-964c-8b786b5839fb
252,Fleshrender,"Fleshrender is a rare Shortsword that allows the wielder to make a diabolical strike, possibly stymying their target's ability to heal.",1d6 + 2 (3~8) + Strength or Dexterity modifier,,Piercing damage,,,Shortswords,Rare,+2,One-Handed,False,False,False,True,1.5m / 5 ft,0.9kg / 1.8lb,190 gp,,,,,Flourish: Feint an attack to possibly throw your opponent Off Balance.,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,"Part the Flesh: Thrust forward with diabolical precision, possibly stymying your target's ability to heal.",,,,Sold by Echo of Abazigal in the Murder Tribunal after the player character accepts Bhaal and becomes an Unholy Assassin.,https://bg3.wiki/w/images/thumb/8/86/Fleshrender_Icon.png/300px-Fleshrender_Icon.png,MAG_LC_Fleshrend_Shortsword,3db6b7be-1e36-405e-94fd-cf5a9f0e4b68
253,Githyanki Shortsword,"Githyanki Shortsword is a common variant of the Shortswords family of weapons. It is a martial melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training.",1d6 (1~6) + Strength or Dexterity modifier,,Piercing damage,,,Shortswords,Common,None,One-Handed,False,False,False,True,1.5m / 5 ft,0.9kg / 1.8lb,16 gp,,,,,Flourish: Feint an attack to possibly throw your opponent Off Balance.,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,,,,Found on weapon racks and equipped by numerous Githyanki in Crèche Y'llek.,https://bg3.wiki/w/images/thumb/8/80/Githyanki_Shortsword_Icon.png/300px-Githyanki_Shortsword_Icon.png,,
254,Knife of the Undermountain King,The Knife of the Undermountain King is a very rare +2 shortsword that increases the frequency of scoring Critical Hits and grants Advantage against enemies in the shadows.,1d6 + 2 (3~8) + Strength or Dexterity modifier,,Piercing damage,,,Shortswords,Very Rare,+2,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,480 gp / 1200 gpHHonour,"Organ Rearranger: Reduce the number you need to roll a Critical Hit while attacking by 1. When they roll 2 damage or less, reroll the dice, taking the highest result.",Shadow Blade: You have Advantage on Attack rolls against Lightly or Heavily Obscured targets when using this blade.,,,Flourish: Feint an attack to possibly throw your opponent Off Balance.,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,,,,Can be bought or looted from A'jak'nir Jeera in Crèche Y'llek.,https://bg3.wiki/w/images/thumb/2/21/Knife_of_the_Undermountain_King_Faded.webp/300px-Knife_of_the_Undermountain_King_Faded.webp.png,MAG_Duergar_Sword_KingsKnife,025e162a-45ec-4f4c-89da-04d8e8dfe606
255,Practice Sword,"The Practice Sword is a common Shortsword. It lacks the weapon actions of other shortswords, but is also the only shortsword that deals Bludgeoning damage.",1d6 (1~6) + Strength or Dexterity modifier,,Bludgeoning damage,,,Shortswords,Common,None,One-Handed,False,True,False,True,1.5m / 5 ft,0.6kg / 1.2lb,1 gp,,,,,,,,,,,,,Four of these can be found in the Emerald Grove in The Hollow where Wyll is helping train the tiefling children. One can be found in Crèche Y'llek in the infirmary in training area. Two can also be found in the House of Healing in Act Two.,https://bg3.wiki/w/images/3/33/Practice_Sword_Unfaded.png,WPN_HUM_Toy_Sword_A,5e651778-cc78-425e-b27d-483b1c8afa82
256,Render of Mind and Body,Render of Mind and Body is an uncommon +1 Shortsword that deals additional Psychic damage whenever the attack is made at Advantage.,1d6 + 1 (2~7) + Strength or Dexterity modifier,,Piercing damage,,,Shortswords,Uncommon,+1,One-Handed,False,False,False,True,1.5m / 5 ft,0.9kg / 1.8lb,65 gp / 310 gpHHonour,"Psychic Steel Virtuoso: When the wielder attacks with Advantage, they deal an additional 1d8Psychic.",,,,Flourish: Feint an attack to possibly throw your opponent Off Balance.,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,,,,"Sold by Lann Tarv in the main floor of Moonrise Towers, if you convince Disciple Z'rell to give you additional aid in finding Ketheric's relic.",https://bg3.wiki/w/images/thumb/8/86/Shortsword_PlusOne_Icon.png/300px-Shortsword_PlusOne_Icon.png,MAG_Blindside_Shortsword,f06c0554-bba8-4036-ac92-1b225a578f57
257,Scrap Sword,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,,https://bg3.wiki/w/resources/assets/licenses/cc-by-nc-sa.png,,
258,Shadow Blade,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,,https://bg3.wiki/w/images/thumb/e/e8/Shadow_Blade.webp/300px-Shadow_Blade.webp.png,,
259,Shortsword,"Shortsword is a mundane, nonmagical variant of the Shortswords family of weapons. It is a martial melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training.",1d6 (1~6) + Strength or Dexterity modifier,,Piercing damage,,,Shortswords,Common,None,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,16 gp,,,,,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,Flourish: Feint an attack to possibly throw your opponent Off Balance.,,,,,,,Starting equipment for rogue. Common loot throughout the game.,https://bg3.wiki/w/images/thumb/a/a5/Shortsword_Faded.png/300px-Shortsword_Faded.png,BASE_WEAPON_Shortswords,91b72625-27da-4d2f-b97f-3c74ccf76e91
260,Shortsword +1,"Shortsword +1 is an uncommon, lightly enchanted (+1) variant of the Shortswords family of weapons. It is a martial melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training.",1d6 + 1 (2~7) + Strength or Dexterity modifier,,Piercing damage,,,Shortswords,Uncommon,+1,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,40 gp,,,,,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,Flourish: Feint an attack to possibly throw your opponent Off Balance.,,,,,,,Has a chance to be sold by any trader using the magic melee table each time the player resets trader's inventories by long resting or levelling up.,https://bg3.wiki/w/images/thumb/8/86/Shortsword_PlusOne_Icon.png/300px-Shortsword_PlusOne_Icon.png,WPN_HUM_Shortsword_A_1,261b946f-154b-4f75-8985-cab6531034a2
261,Shortsword of First Blood,The Shortsword of First Blood is an uncommon shortsword that deals more damage to enemies who haven't been injured yet.,1d6 (1~6) + Strength or Dexterity modifier,,Piercing damage,,,Shortswords,Uncommon,None,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,65 gp,Break the Unbroken: Deals an additional 1d8Piercing to targets that still have all their hit points.,,,,Flourish: Feint an attack to possibly throw your opponent Off Balance.,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,,,,"Found on the corpse of an executed Deep Gnome in the Underdark at (X:73, Y:-187), at the entrance of the Decrepit Village (if approaching from the Myconid Colony).",https://bg3.wiki/w/images/thumb/8/86/Shortsword_PlusOne_Icon.png/300px-Shortsword_PlusOne_Icon.png,UNI_UND_Duergar_ShortswordOfFirstBlood,1e172d76-3433-4ee7-ae1a-9e7d8ae0f12b
262,Slicing Shortsword,The Slicing Shortsword is a rare +1 shortsword that inflicts Bleeding when the wielder attacks with advantage.,1d6 + 1 (2~7) + Strength or Dexterity modifier,,Piercing damage,,,Shortswords,Rare,+1,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,190 gp,"Deepflesh Slice: When the wielder attacks with Advantage, the attack inflicts Bleeding.",,,,Flourish: Feint an attack to possibly throw your opponent Off Balance.,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,,,,Sold by Lann Tarv in the main floor of Moonrise Towers.,https://bg3.wiki/w/images/thumb/8/86/Shortsword_PlusOne_Icon.png/300px-Shortsword_PlusOne_Icon.png,MAG_Slicing_Shortsword,de0e16f6-6dbb-4edd-8ba5-106486b05552
263,Steelforged Sword,"Steelforged Sword is an uncommon, lightly enchanted (+1) variant of the Shortswords family of weapons. It is a martial melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training.",1d6 + 1 (2~7) + Strength or Dexterity modifier,,Piercing damage,,,Shortswords,Uncommon,+1,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,60 gp,,,,,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,Flourish: Feint an attack to possibly throw your opponent Off Balance.,,,,,,,"This weapon can be found in a locked chest in the abandoned workshop in the Blighted Village, across from the Ancient Rune Circle (X:45, Y:408). A second can be found in the Watch Citadel in The High Hall, on a table of goods owned by Koll.",https://bg3.wiki/w/images/thumb/8/86/Shortsword_PlusOne_Icon.png/300px-Shortsword_PlusOne_Icon.png,QUEST_FOR_Village_Blacksmith_FineWeapon,65b41886-823d-416b-b53e-c332a3aad530
264,Sword of Clutching Umbra,"Sword of Clutching Umbra is a rare, lightly enchanted (+1) Shortsword that grants the wielder a unique weapon action, Shadowsoaked Blow.",1d6 + 1 (2~7) + Strength or Dexterity modifier,,Piercing damage,,,Shortswords,Rare,+1,One-Handed,False,False,False,True,1.5m / 5 ft,0.9kg / 1.8lb,190 gp,,,,,Flourish: Feint an attack to possibly throw your opponent Off Balance.,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,"Shadowsoaked Blow: Strike an enemy, adding your proficiency bonus to the damage. Moreover, if the attack hits, it deals an additional 1d6Psychic damage. This attack doesn't break concealment.",,,,Bought from Dammon in Act 2 at the Last Light Inn.,https://bg3.wiki/w/images/thumb/8/86/Shortsword_PlusOne_Icon.png/300px-Shortsword_PlusOne_Icon.png,MAG_Shadow_Shortsword,82afffba-16cb-47ff-8520-bac8b9c46ad3
265,Sword of Life Stealing,"The Sword of Life Stealing is a very rare +2 Shortsword that deals an extra 10 Necrotic damage on a critical hit, and heals the wielder for the same amount.",1d6 + 2 (3~8) + Strength or Dexterity modifier,,Piercing damage,,,Shortswords,Very Rare,+2,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,480 gp / 1550 gpHHonour,"Life Stealing Critical: On a Critical Hit, the target takes an extra 10NecroticDRS damage as long as it isn't a construct or an undead. You also gain 10 temporary hit points.",,,,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,Flourish: Feint an attack to possibly throw your opponent Off Balance.,,,,,,,Sold by Dammon at the Last Light Inn in Chapter Two.,https://bg3.wiki/w/images/thumb/5/52/Shortsword_PlusTwo_Icon.png/300px-Shortsword_PlusTwo_Icon.png,MAG_PHB_OfLifestealing_Shortsword,2b5243b8-658e-4ff2-bccf-0f39e5c53f3e
266,The Clover,"The Clover is a legendary, moderately enchanted (+2) special variant of the Scimitars family of weapons. It is a martial melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training.",1d6 (1~6) + Strength or Dexterity modifier,,Slashing damage,,,Scimitars,Legendary,+2,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,gp,"Organ Rearranger: Reduce the number you need to roll a Critical Hit while attacking by 1. When they roll 2 damage or less, reroll the dice, taking the highest result.",True Strike: Cast as a cantrip (Recharge: Short rest).,Armour Class +1 (Off-Hand Only),,Flourish: Feint an attack to possibly throw your opponent Off Balance.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,,,,,,,,https://bg3.wiki/w/images/thumb/e/ec/Shattered_Condition_Icon.webp/35px-Shattered_Condition_Icon.webp.png,MAG_TheClover_Scimitar,517231eb-e812-43ed-9ce3-482ba7ed31e6
267,Vicious Shortsword,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,,https://bg3.wiki/w/resources/assets/licenses/cc-by-nc-sa.png,,
268,The Baneful,The The Baneful is a rare +1 shortsword that only functions if it's Bound to an Eldritch Knight or is a Warlock's Pact weapon. It also applies the Bane condition on hit.,1d6 + 1 (2~7) + Strength or Dexterity modifier,,Piercing damage,,,Shortswords,Rare,+1,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,190 gp / 250 gpHHonour,Favoured Weapon: This weapon has a +1 bonus to damage and Attack rolls.,"Baneful Bond: On a hit, possibly Bane your target.",,,Flourish: Feint an attack to possibly throw your opponent Off Balance.,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,,,,Sold by Blurg in the Myconid Colony.,https://bg3.wiki/w/images/thumb/a/a8/Githyanki_Shortsword_Plus_One_Faded.webp/300px-Githyanki_Shortsword_Plus_One_Faded.webp.png,MAG_Bonded_Baneful_Shortsword,3b578a43-222e-480b-8a22-2c424471099f
269,Assassin's Shortsword,Assassin's Shortsword is an uncommon Shortsword that grants the wielder Advantage on Stealth checks.,1d6 + 1 (2~7) + Strength or Dexterity modifier,,Piercing damage,,,Shortswords,Uncommon,+1,One-Handed,False,False,False,True,1.5m / 5 ft,0.9kg / 1.8lb,65 gp,Advantage on Stealth Checks.,,,,Flourish: Feint an attack to possibly throw your opponent Off Balance.,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,,,,"Found on one of a pair of skeletons along the cliffs west of the House of Healing (X:-252, Y:36). The other skeleton has the Watcher's Shield.",https://bg3.wiki/w/images/thumb/8/86/Shortsword_PlusOne_Icon.png/300px-Shortsword_PlusOne_Icon.png,UNI_TWN_WPN_HUM_ShortswordOfStealth_A_1,3c14116f-43da-4e73-92d1-903f46a9d55d
270,Sickle,"Sickle is a mundane, nonmagical variant of the Sickles family of weapons. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training.",1d4 (1~4) + Strength modifier,,Slashing damage,,,Sickles,Common,None,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,10 gp,,,,,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,,,,,,,,,https://bg3.wiki/w/images/thumb/b/ba/Sickle_Icon.png/300px-Sickle_Icon.png,WPN_HUM_Sickle_A_0,50d677ed-3a0e-40e9-8291-ee6823af5672
271,Sickle of BOOOAL,Sickle of BOOOAL is a rare variant of the Sickles family of weapons. It is a Simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training.,2d4 (2~8) + Strength modifier,,Slashing damage,,,Sickles,Rare,None,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,190 gp,,,,,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,,,,,,,,"BOOOAL's Blessing   Advantage on Attack rolls against Bleeding creatures, as long as there are Kuo-toa to worship BOOOAL.",https://bg3.wiki/w/images/thumb/d/de/Sickle_of_BOOOAL_Icon.png/300px-Sickle_of_BOOOAL_Icon.png,UNI_SickleOfBOOOAL,a07f2e91-e084-4fe5-9dbb-ef7de76a3c0a
272,Sussur Sickle,"The Sussur Sickle is a Rare +1 Sickle that silences the targets it strikes, making it very effective against spellcasters.",1d4 + 1 (2~5) + Strength modifier,,Slashing damage,,,Sickles,Rare,+1,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,120 gp,Silences targets on hit.,,,,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,,,,,,,,"Silenced Duration: 2 turns DC 12 Constitution saving throw  Creature can't speak or cast spells with a verbal component, and is immune to Thunder damage.",https://bg3.wiki/w/images/thumb/2/2a/Sussur_Sickle_Icon.png/300px-Sussur_Sickle_Icon.png,QUEST_FOR_SussurSickle,6b95bb45-41c3-4954-ac2f-ef1aa169b0b6
273,Wavemother's Sickle,"Wavemother's Sickle is a rare, +2 Sickle that grants the wielder Advantage against targets with the Wet condition.",1d4 + 2 (3~6) + Strength modifier,,Slashing damage,1d4 (1~4),Cold damage,Sickles,Rare,+2,One-Handed,False,False,False,True,1.5m / 5 ft,0.9kg / 1.8lb,190 gp,Watery Guidance: This weapon has Advantage against Wet creatures.,,,,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,,,,,,,,Looted from Allandra Grey,https://bg3.wiki/w/images/thumb/2/2a/Sussur_Sickle_Icon.png/300px-Sussur_Sickle_Icon.png,MAG_LC_Umberlee_Cold_Sickle,5b4b10cd-089f-4675-8392-5bfa6749d79c
274,Jagged Spear,Jagged Spear is an uncommon Spear that allows the wielder to possibly give their targets Disadvantage on Constitution Saving Throws.,1d6 (1~6) + Strength modifier,1d8 (1~8) + Strength modifier,Piercing damage,,,Spears,Uncommon,None,Versatile,True,True,False,False,1.5m / 5 ft,1.35kg / 2.7lb,330 gp,Torturous Edges: Tortured creatures may receive Disadvantage on Constitution Saving throws.,,,,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",,,,,,,,On the ground near Torturer Spike in the Shattered Sanctum X:334Y:-37.,https://bg3.wiki/w/images/thumb/2/27/Jagged_Spear_Icon.png/300px-Jagged_Spear_Icon.png,GOB_Torturer_Spear,1fea9dfa-96a6-43c5-bce8-34452baa073e
275,Lightning Jabber,"Lightning Jabber is an uncommon +1 Spear that deals extra Lightning damage when thrown, and also has a chance to Shock a target on hit.",1d6 + 1 (2~7) + Strength modifier,1d8 + 1 (2~9) + Strength modifier,Piercing damage,,,Spears,Uncommon,+1,Versatile,True,True,False,True,1.5m / 5 ft,1.35kg / 2.7lb,65 gp,"Shocking Sting: On a hit, possibly Shock your target.","Throwing: Lightning Damage: When launched at a target, deal an additional 1d4Lightning damage.",,,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",,,,,,,,Shocked  Cannot take reactions and has Disadvantage on Ability Checks and Saving Throws using Dexterity.,https://bg3.wiki/w/images/thumb/0/0a/Kuotoa_Javelin_PlusOne_Faded.png/300px-Kuotoa_Javelin_PlusOne_Faded.png,MAG_Kuotoa_Lightning_Spear,5dc55fa5-40df-4e67-ab78-d9320176e614
276,Pitchfork,"Pitchfork is a mundane, nonmagical variant of the Spears family of weapons. It is a simple melee weapon that must be wielded in both hands as it lacks the Versatile quality. It also cannot be used as a proper Thrown weapon as it also lacks that trait.",,1d6 (1~6) + Strength modifier,Piercing damage,,,Spears,Common,None,Two-Handed,False,False,False,False,1.5m / 5 ft,1.35kg / 2.7lb,16 gp,,,,,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",,,,,,,,"Throughout the world, most often in settlements.",https://bg3.wiki/w/images/thumb/1/1a/Pitchfork_Icon.png/300px-Pitchfork_Icon.png,TOOL_GEN_Pitchfork_A,c8274575-61a2-43a7-bde0-65a278dde287
